id,found,violation_score,time,cost,graph6
886,True,20.0,0.18305039405822754,0.18305039405822754,S~{GGKF@w?_@?B?B_@w?@??C??W??w??{
980,True,0.19318181818181834,0.2892031669616699,0.2892031669616699,US?cCDEaig?A?_??_?G?A??G??G??W??[??N??Bw
981,True,0.11111111111111072,0.22937941551208496,0.22937941551208496,K@cCAKO?G@_F
1177,True,0.22857142857142865,0.2621326446533203,0.2621326446533203,T~CWGC@?_?_B?F?F_B{????C??G??G??C??@
1178,True,0.2999999999999998,0.1727294921875,0.1727294921875,SxCWGCB?G?_B?O??`???@??K??w?@w?@{
1191,True,1.485848484848482,0.2409830093383789,0.2409830093383789,XpqwvpMhPGV[Umw~jXKHNgt|QrVkunf}lUcNevmB]Sf}|qtYl}~
1466,True,0.4867142857142923,0.1568608283996582,0.1568608283996582,QJHaxY@AR_rEgAw~VgH[WUGS??O
1566,False,0.0,10.009578227996826,120.0,C~
1587,True,0.33333333333333304,0.29425787925720215,0.29425787925720215,I`Y?I?@?G
1588,True,1.0,0.3201766014099121,0.3201766014099121,YhCGGC??GO_@?@??_?G?@??C??G??G?????@???G???_?_@???@_??A_
1600,True,0.33333333333333304,0.8025071620941162,0.8025071620941162,J[COGCO?G?_
1601,True,1.0,0.7719640731811523,0.7719640731811523,LhCGGC@C???@@A
1708,True,1.0,0.3605782985687256,0.3605782985687256,V~~~wC@?WB_N?^?^_?G?@??K??w?Pw?@{??~?^gC_???
1880,False,0.0,10.00167965888977,120.0,Bg
1891,True,0.5,1.0453705787658691,1.0453705787658691,JlOOOD??G?_
2041,False,0.0,10.001107692718506,120.0,Bw
2051,False,0.0,10.002198219299316,120.0,BW
2117,True,0.4867142857142923,0.2910470962524414,0.2910470962524414,J[AK?F@GG@?
2120,True,0.5,1.0213890075683594,1.0213890075683594,Ih?KK?@?G
2121,True,1.0,5.691745758056641,5.691745758056641,qxC?GCH?G@_@o@??_?G?P??C??L_?G?_???@???W??@_??@???@????_???G?@??????C???C?@OA???????????@?????G?A???_????@????C???_?????????G?????@??????C?G???????????G??????C??????@?G?????????????_??????@???????@???????C_
